City,Company,Region,Position,Employment_type,Industry,Standing,Preferred_mj1,Preferred_mj2,Preferred_lang1,Preferred_lang2,Minimum_exp_years,Estimate_minimum_average_salary,
Elk Grove,Apple Inc.,North CA,"Data Analyst, Recruitment Services",Full time,Information Technology,BS/BA,Computer Science,Math,SQL,JavaScript,3,50000,
Oakland,KAISER,North CA,"Consulting Data Analyst - Excel, Access",Full time,Health Care,BS/BA/GED,Statistics,Economics,SQL,SAS,2,63000,
Rancho Cordova,Agreeya Solutions,North CA,Data Analyst,Full time,Information Technology,NA,Data Related fields,NA,SQL,Cognos,1,NA,
San Jose,Zoom,North CA,"Data AnalystBusiness Analyst, Data Science",Full time,Information Technology,BS/BA,STEM,Business/Economics,SQL,R,2,82000,
Santa Ana,UHG,South CA,Data Analyst,Full time,Information Technology,BS/BA,Statistical Related field,Data Related fields,SQL,SAS,1,NA,
San Francisco,Latitude 36,North CA,Data Analyst,Full time,Information Technology,NA,Quantitative fields,NA,SQL,P&L,3,NA,
Sacramento,"Advanced Decision Vectors, LLC",North CA,Data Analyst,Full time,Government,BS/BA,Data Related fields,Administrative/Management analysis field,Excel,PowerPoint,5,NA,
El Segundo,PeerStreet,South CA,Data Analyst,Full time,Real Estate,BS/BA,Data Related fields,NA,SQL,Excel,2,NA,
San Francisco,Plaids,North CA,Data Scientist,Full time,Information Technology,BS/BA,Machine Learning,Computational Statistics,Nuanced Language of Financial Statements,MS Excel,2,101000,
San Francisco,Gusto,North CA,Senior Data Scientist,Full time,Information Technology,MS/PH.D,Statistics,Quantitative fields,Python,R,5,141000,
San Francisco,Clarivate Analytics,North CA,Data Scientist,Full time,Information Technology,BS/BA,Computer Science,Statistics,Java,Scala,1,109000,
Palo Alto,XMotors.ai,North CA,Machine Learning Engineer,Full time,Information Technology,MS/PH.D,Computer Science,Electrical Engineering,C/C++,R,3,NA,
San Francisco,Tonal,North CA,Data Scientist,Full time,Consumer Services,All levels,Mathematical Related field,Machine learning,Java,Python,1,NA,
San Francisco,Trulia,North CA,Data Scientist,Full time,Information Technology,MS/PH.D,Computer Science,Machine learning,C/C++,Python,2,118000,
San Francisco,Massdrop,North CA,Data Scientist,Full time,Retail,NA,Machine learning,Data Related fields,Python,Scripting Language,2,123000,
San Jose,Strivector,North CA,Data Scientist,Full time,Information Technology,MS,Math,Statistics,SQL,R,3,NA,
San Francisco,IFTTT,North CA,Data Scientist,Full time,Information Technology,MS/PH.D,Statistics,Computer Science,Python,R,1,107000,
San Francisco,Curology,North CA,Data Scientist,Full time,Consumer Services,NA,Statistics,Data Related fields,SQL,R,3,NA,
Los Angeles,Capital Group,South CA,Senior Data Scientist,Full time,Finance,MS,Business,Quantitative fields,SQL,"Query languages: Spark, Hive, Pig",4,105000,
San Francisco,Pinterest,North CA,Data Scientist,Full time,Information Technology,NA,Statistics,Quantitative fields,SQL,Hive,2,139000,
San Francisco,Niantic,North CA,Data Scientist,Full time,Media,BA/BS,Statistics,Applied Math,SQL,R,1,NA,
Sunnyvale,Robert Bosch,North CA,Data Mining Intern: Manufacturing Analytics,Internship,Manfacturing,NA,Machine learning,Data Mining,Apache Spark,Python,1,NA,
San Jose,Cadence Design Systems,North CA,Software Engineering Intern,Internship,Information Technology,NA,Software Engineering,Quantitative fields,Software Programming Language,NA,1,78000,
Mountain View,JD_com,North CA,Big Data - Big Data Platform Intern,Internship,Retail,PH.D,Computer Science,Quantitative fields,C/C++,Python,3,NA,
Los Angeles,"LIVE NATION, INC",South CA,Data Intern,Internship,Media,NA,Statistics,Math,MS Office,Excel,1,NA,
Playa Vista,"Pixalate, Inc",South CA,Data Science Intern - PhD/Masters,Internship,Information Technology,MS/PH.D,Computer Science,Statistics,SQL,Python,1,NA,
San Francisco,Figure,North CA,Senior Data Engineer,Full time,Research,BA/BS,Computer Science,Related Technical Field,SQL,NoSQL,5,NA,
